                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1475,                 2.6595,                 1.2208,                      1,                  0.258,                0.54632,                 0.3803,                 1.0161,                 2.4407,                 1.0681,                 0.0002,                 0.0002,                 0.0002
                      1,                 1.0988,                 1.2417,                 1.1063,                0.93339,                0.80599,                0.96346,                0.65949,                  1.083,                 1.4126,                0.99385,             0.00039921,             0.00039921,             0.00039921
                      2,                 1.1146,                0.99201,                  1.157,                0.94297,                0.91593,                0.96056,                0.64756,                 1.1685,                0.89555,                 1.1223,             0.00057664,             0.00057664,             0.00057664
                      3,                 1.0972,                0.85464,                 1.1739,                 0.7739,                0.86726,                0.84637,                0.53202,                 1.2704,                  1.241,                 1.1846,             0.00073229,             0.00073229,             0.00073229
                      4,                 1.0743,                0.79829,                 1.1264,                0.85931,                0.94591,                0.93101,                0.62747,                  1.121,                0.91211,                  1.097,             0.00086616,             0.00086616,             0.00086616
                      5,                 1.0331,                0.74286,                  1.088,                0.96107,                0.98321,                0.98478,                0.67885,                 1.1073,                0.69159,                 1.1226,             0.00097825,             0.00097825,             0.00097825
                      6,                 1.0092,                0.73102,                 1.0653,                0.96504,                0.97711,                0.98729,                0.67377,                 1.1285,                0.70935,                 1.1076,              0.0010686,              0.0010686,              0.0010686
                      7,                 1.0024,                0.67717,                 1.0726,                0.97731,                0.95311,                0.98174,                0.66797,                 1.1523,                0.73846,                 1.1344,              0.0011371,              0.0011371,              0.0011371
                      8,                0.97423,                0.66834,                 1.0568,                0.99347,                 0.9469,                0.97938,                0.68064,                 1.1025,                0.72727,                 1.0947,              0.0011838,              0.0011838,              0.0011838
                      9,                  1.031,                0.67292,                 1.0784,                0.98636,                0.95963,                0.99012,                0.68358,                 1.1086,                0.66638,                 1.0867,               0.001109,               0.001109,               0.001109
                     10,                0.97607,                 0.7602,                 1.0713,                0.93359,                0.86283,                0.94247,                0.62316,                 1.1809,                0.87442,                 1.1813,               0.001109,               0.001109,               0.001109
                     11,                0.96097,                0.70296,                 1.0624,                0.87449,                0.81858,                 0.9079,                0.58883,                   1.23,                 1.0079,                 1.1934,                0.00101,                0.00101,                0.00101
                     12,                0.93735,                0.65208,                  1.028,                0.91353,                0.90708,                0.95608,                0.65649,                 1.0921,                0.77067,                 1.1032,               0.000911,               0.000911,               0.000911
                     13,                0.93019,                0.62805,                 1.0284,                0.96193,                0.93805,                0.98254,                0.66877,                 1.1673,                0.68463,                 1.1569,               0.000812,               0.000812,               0.000812
                     14,                0.93271,                0.61746,                  1.026,                0.99336,                0.95133,                0.98082,                0.69063,                 1.0719,                 0.6763,                 1.0981,               0.000713,               0.000713,               0.000713
                     15,                0.90842,                0.58901,                 1.0151,                0.99542,                0.96207,                0.99401,                0.68349,                 1.0815,                0.62393,                 1.0876,               0.000614,               0.000614,               0.000614
                     16,                0.86871,                0.58266,                 1.0102,                0.99114,                0.98981,                0.99482,                0.69122,                 1.0581,                0.58949,                 1.0666,               0.000515,               0.000515,               0.000515
                     17,                0.88637,                0.57772,                 1.0111,                      1,                0.98548,                0.99491,                0.70466,                 1.0417,                 0.5667,                 1.0499,               0.000416,               0.000416,               0.000416
                     18,                0.86596,                0.56861,                 1.0069,                0.99113,                0.98899,                0.99482,                0.70909,                 1.0559,                0.55386,                 1.0503,               0.000317,               0.000317,               0.000317
                     19,                0.83985,                0.52341,                0.98795,                 0.9868,                0.99233,                0.99473,                 0.7121,                 1.0415,                0.52414,                 1.0481,               0.000218,               0.000218,               0.000218
